formulation_name,symptoms,ingredients,steps,dosage,category,product_link,doctor_type,description
Dashamoola Kashayam,"inflammation joint pain fever respiratory problems weakness fatigue","dashamoola herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician","reduces inflammation relieves pain and improves strength"
Dashamoola Katutraya Kashayam,"respiratory problems cough asthma indigestion inflammation","dashamoola trikatu herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician pulmonologist","supports lungs improves digestion and reduces inflammation"
Dashamula Panchakoladi Kashayam,"indigestion bloating gas abdominal pain fever toxin accumulation","dashamoola panchakola herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician gastroenterologist","improves digestion relieves gas and detoxifies body"
Dhanadanayanadi Kashayam,"eye disorders vision problems inflammation weakness","herbal blend decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","ophthalmologist general physician","improves vision reduces inflammation and nourishes eyes"
Dhanwantharam Kashayam,"joint pain muscle weakness nerve disorders postnatal recovery fatigue","herbal blend decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician neurologist","supports nerves improves strength and aids recovery"
Elakanadi Kashayam,"indigestion bloating gas abdominal pain nausea","ela herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician gastroenterologist","improves digestion relieves gas and reduces nausea"
Gandharvahasthadi Kashayam,"constipation abdominal pain bloating toxin accumulation indigestion","castor plant herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician gastroenterologist","relieves constipation detoxifies body and improves digestion"
Garbha Raksha Kashayam,"pregnancy support weakness fatigue hormonal balance fetal development","herbal blend decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","gynecologist","supports pregnancy improves strength and maintains fetal health"
Gokshuradi Kwath,"urinary disorders kidney problems swelling edema reproductive issues","gokshura herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician urologist","supports kidney health reduces swelling and improves urinary function"
Gulguluthikthakam Kashayam,"skin disorders psoriasis eczema itching inflammation toxin accumulation","guggulu bitter herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","dermatologist general physician","treats skin diseases detoxifies body and reduces inflammation"
Indukantham Kashayam,"indigestion weakness fatigue low immunity abdominal pain bloating","herbal blend decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician gastroenterologist","improves digestion boosts immunity and enhances strength"
Jivantyadi Kashayam,"eye disorders vision problems weakness inflammation","jeevanti herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","ophthalmologist general physician","improves vision nourishes eyes and reduces inflammation"
Kalyana Ksharam,"indigestion bloating gas abdominal pain constipation","alkaline herbal extract","prepare kshara from plant ash","125–250 mg","kshara","","general physician gastroenterologist","improves digestion relieves gas and supports bowel movement"
Katakakhadiradi Kashayam,"skin disorders itching infection inflammation toxin accumulation","kataka khadir herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","dermatologist general physician","treats skin diseases purifies blood and reduces inflammation"
Khadiradi Kashayam,"skin disorders itching eczema acne infection","khadir herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","dermatologist general physician","purifies blood treats skin disorders and reduces itching"
Kokilakshadi Kwath,"urinary disorders kidney problems swelling edema reproductive issues","kokilaksha herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician urologist","supports kidney health reduces swelling and improves urinary function"
Kulathadi Kashayam,"joint pain arthritis swelling inflammation kidney stones","kulatha herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician orthopedist","reduces joint pain supports kidney health and relieves inflammation"
Lashuna Erandadi Kashayam,"joint pain arthritis sciatica inflammation stiffness","garlic castor herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician orthopedist","relieves joint pain improves mobility and reduces inflammation"
Maha Manjishtadi Kashayam,"skin disorders acne eczema psoriasis itching blood disorders","manjistha herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","dermatologist general physician","purifies blood treats skin diseases and reduces inflammation"
Maharasnadi Kashayam,"joint pain arthritis muscle pain inflammation nerve disorders","rasna herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician orthopedist","reduces pain improves mobility and supports nerves"
Moolakadai Kashayam,"indigestion bloating gas abdominal pain constipation","radish herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician gastroenterologist","improves digestion relieves gas and supports bowel movement"
Nayopayam Kashayam,"fever infection inflammation toxin accumulation low immunity","herbal blend decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician","reduces fever detoxifies body and boosts immunity"
Nimbadi Kashayam,"skin disorders itching infection inflammation acne toxin accumulation","neem herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","dermatologist general physician","treats skin diseases purifies blood and reduces inflammation"
Nisakathakadi Kashayam,"diabetes urinary disorders obesity indigestion toxin accumulation","nisakathaka herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician endocrinologist","manages diabetes improves metabolism and detoxifies body"
Rasnadi Kashayam,"joint pain arthritis muscle pain inflammation stiffness","rasna herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician orthopedist","relieves joint pain reduces inflammation and improves mobility"
Rasnairandadi Kashayam,"joint pain arthritis sciatica inflammation stiffness","rasna castor herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician orthopedist","relieves pain improves mobility and reduces inflammation"
Rasnasaptak Kashayam,"joint pain arthritis inflammation muscle pain stiffness","rasna herbal blend decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","general physician orthopedist","reduces joint pain improves mobility and relieves inflammation"
Sahachara Baladi Kashayam,"nerve disorders paralysis joint pain weakness muscle stiffness","sahachara bala herbs decoction","boil herbs in water reduce to one fourth filter","15–30 ml","kashayam","","neurologist general physician","supports nerves improves strength and relieves stiffness"
