formulation_name,symptoms,ingredients,steps,dosage,category,product_link,doctor_type,description,dosha
Brahmi Drakshadi Kashayam,memory loss stress anxiety insomnia weakness fatigue,brahmi draksha herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,neurologist general physician,improves memory reduces stress and boosts strength,Vata
Brihatyadi Kashayam,cough asthma respiratory problems fever chest congestion,brihati herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician pulmonologist,supports lungs relieves cough and improves breathing,Kapha
Chandanosiradi Kashayam,burning sensation urinary disorders fever inflammation,sandalwood herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician urologist,cools body reduces burning sensation and supports urinary health,Pitta
Chiruvilwadi Kashayam,indigestion abdominal pain bloating gas diarrhea,chiruvilwa herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician gastroenterologist,improves digestion relieves abdominal pain and supports gut health,Vata
Dashamoola Kashayam,inflammation joint pain fever respiratory problems weakness fatigue,dashamoola herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician,reduces inflammation relieves pain and improves strength,"Vata, Pitta"
Dashamoola Katutraya Kashayam,respiratory problems cough asthma indigestion inflammation,dashamoola trikatu herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician pulmonologist,supports lungs improves digestion and reduces inflammation,"Pitta, Kapha"
Dashamula Panchakoladi Kashayam,indigestion bloating gas abdominal pain fever toxin accumulation,dashamoola panchakola herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician gastroenterologist,improves digestion relieves gas and detoxifies body,Vata
Dhanadanayanadi Kashayam,eye disorders vision problems inflammation weakness,herbal blend decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,ophthalmologist general physician,improves vision reduces inflammation and nourishes eyes,"Vata, Pitta"
Dhanwantharam Kashayam,joint pain muscle weakness nerve disorders postnatal recovery fatigue,herbal blend decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician neurologist,supports nerves improves strength and aids recovery,Vata
Elakanadi Kashayam,indigestion bloating gas abdominal pain nausea,ela herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician gastroenterologist,improves digestion relieves gas and reduces nausea,Vata
Gandharvahasthadi Kashayam,constipation abdominal pain bloating toxin accumulation indigestion,castor plant herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician gastroenterologist,relieves constipation detoxifies body and improves digestion,Vata
Garbha Raksha Kashayam,pregnancy support weakness fatigue hormonal balance fetal development,herbal blend decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,gynecologist,supports pregnancy improves strength and maintains fetal health,Vata
Gokshuradi Kwath,urinary disorders kidney problems swelling edema reproductive issues,gokshura herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician urologist,supports kidney health reduces swelling and improves urinary function,Tridosha
Gulguluthikthakam Kashayam,skin disorders psoriasis eczema itching inflammation toxin accumulation,guggulu bitter herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,dermatologist general physician,treats skin diseases detoxifies body and reduces inflammation,Pitta
Indukantham Kashayam,indigestion weakness fatigue low immunity abdominal pain bloating,herbal blend decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician gastroenterologist,improves digestion boosts immunity and enhances strength,Vata
Jivantyadi Kashayam,eye disorders vision problems weakness inflammation,jeevanti herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,ophthalmologist general physician,improves vision nourishes eyes and reduces inflammation,"Vata, Pitta"
Kalyana Ksharam,indigestion bloating gas abdominal pain constipation,alkaline herbal extract,prepare kshara from plant ash,125–250 mg,kshara,,general physician gastroenterologist,improves digestion relieves gas and supports bowel movement,Vata
Katakakhadiradi Kashayam,skin disorders itching infection inflammation toxin accumulation,kataka khadir herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,dermatologist general physician,treats skin diseases purifies blood and reduces inflammation,Pitta
Khadiradi Kashayam,skin disorders itching eczema acne infection,khadir herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,dermatologist general physician,purifies blood treats skin disorders and reduces itching,Tridosha
Kokilakshadi Kwath,urinary disorders kidney problems swelling edema reproductive issues,kokilaksha herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician urologist,supports kidney health reduces swelling and improves urinary function,Tridosha
Kulathadi Kashayam,joint pain arthritis swelling inflammation kidney stones,kulatha herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician orthopedist,reduces joint pain supports kidney health and relieves inflammation,"Vata, Pitta"
Lashuna Erandadi Kashayam,joint pain arthritis sciatica inflammation stiffness,garlic castor herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician orthopedist,relieves joint pain improves mobility and reduces inflammation,"Vata, Pitta"
Maha Manjishtadi Kashayam,skin disorders acne eczema psoriasis itching blood disorders,manjistha herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,dermatologist general physician,purifies blood treats skin diseases and reduces inflammation,Pitta
Maharasnadi Kashayam,joint pain arthritis muscle pain inflammation nerve disorders,rasna herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician orthopedist,reduces pain improves mobility and supports nerves,"Vata, Pitta"
Moolakadai Kashayam,indigestion bloating gas abdominal pain constipation,radish herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician gastroenterologist,improves digestion relieves gas and supports bowel movement,Vata
Nayopayam Kashayam,fever infection inflammation toxin accumulation low immunity,herbal blend decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician,reduces fever detoxifies body and boosts immunity,Pitta
Nimbadi Kashayam,skin disorders itching infection inflammation acne toxin accumulation,neem herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,dermatologist general physician,treats skin diseases purifies blood and reduces inflammation,Pitta
Nisakathakadi Kashayam,diabetes urinary disorders obesity indigestion toxin accumulation,nisakathaka herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician endocrinologist,manages diabetes improves metabolism and detoxifies body,Tridosha
Rasnadi Kashayam,joint pain arthritis muscle pain inflammation stiffness,rasna herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician orthopedist,relieves joint pain reduces inflammation and improves mobility,"Vata, Pitta"
Rasnairandadi Kashayam,joint pain arthritis sciatica inflammation stiffness,rasna castor herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician orthopedist,relieves pain improves mobility and reduces inflammation,"Vata, Pitta"
Rasnasaptak Kashayam,joint pain arthritis inflammation muscle pain stiffness,rasna herbal blend decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician orthopedist,reduces joint pain improves mobility and relieves inflammation,"Vata, Pitta"
Sahachara Baladi Kashayam,nerve disorders paralysis joint pain weakness muscle stiffness,sahachara bala herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,neurologist general physician,supports nerves improves strength and relieves stiffness,Vata
Saptasaram Kashayam,constipation abdominal pain bloating gas indigestion,herbal blend decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician gastroenterologist,relieves constipation improves digestion and reduces bloating,Vata
Sonitamritam Kashayam,blood disorders anemia skin disorders inflammation toxin accumulation,herbal blend decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician hematologist,purifies blood improves hemoglobin and reduces inflammation,Pitta
Sukumaram Kashayam,constipation abdominal pain bloating menstrual disorders infertility,herbal blend decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,gynecologist general physician,relieves constipation supports reproductive health and improves digestion,Vata
Varadi Kashayam,diabetes obesity urinary disorders indigestion toxin accumulation,herbal blend decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician endocrinologist,manages diabetes improves metabolism and detoxifies body,Tridosha
Varanadi Kashayam,obesity swelling cysts tumors lymph node enlargement,varana herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician endocrinologist,reduces swelling supports metabolism and treats growths,Tridosha
Vasaguluchyadi Kashayam,cough asthma bronchitis respiratory problems fever,vasaka giloy herbs decoction,boil herbs in water reduce to one fourth filter,15–30 ml,kashayam,,general physician pulmonologist,supports lungs relieves cough and reduces fever,"Pitta, Kapha"
